,t_s,H_m,Qw_m3s,Ai_m2,todoy,iceon,tau,starth,gravelz,Hdl,His,Ta,Uw,rh,P,Ta_C,Hstar,Astar,Qstar,Tw_C,thawingdegreedays
114,1231200,0.0,0.0,0.0,151,274,14,0.5,0.5,177.81725,0.0,-19.9,0.0,0.821,99500.0,-19.9,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
115,1242000,0.0,0.0,0.0,151,274,14,0.5,0.5,179.137275,0.0,-19.58,0.0,0.836,99500.0,-19.58,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
116,1252800,0.0,0.0,0.0,151,274,14,0.5,0.5,180.4573,1.0,-18.53,0.0,0.8290000000000001,99400.0,-18.53,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
117,1263600,0.0,0.0,0.0,151,274,14,0.5,0.5,182.4342,1.0,-19.57,0.0,0.821,99400.0,-19.57,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
118,1274400,0.0,0.0,0.0,151,274,14,0.5,0.5,184.4111,0.0,-19.84,0.0,0.816,99300.0,-19.84,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
119,1285200,0.0,0.0,0.0,151,274,14,0.5,0.5,186.388,0.0,-19.28,0.0,0.835,99200.0,-19.28,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
120,1296000,0.0,0.0,0.0,151,274,14,0.5,0.5,188.3649,0.0,-18.16,0.0,0.838,99200.0,-18.16,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
121,1306800,0.0,0.0,0.0,151,274,14,0.5,0.5,190.3418,0.0,-17.81,0.0,0.84,99200.0,-17.81,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
122,1317600,0.0,0.0,0.0,151,274,14,0.5,0.5,192.3187,0.0,-19.53,0.0,0.816,99200.0,-19.53,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
123,1328400,0.0,0.0,0.0,151,274,14,0.5,0.5,194.2956,0.0,-21.81,0.0,0.8029999999999999,99300.0,-21.81,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
124,1339200,0.0,0.0,0.0,151,274,14,0.5,0.5,196.2725,2.0,-22.08,0.0,0.7996,99300.0,-22.08,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
125,1350000,0.0,0.0,0.0,151,274,14,0.5,0.5,195.5820375,1.0,-20.53,0.0,0.8170000000000001,99300.0,-20.53,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
126,1360800,0.0,0.0,0.0,151,274,14,0.5,0.5,194.891575,0.0,-20.0,0.0,0.815,99300.0,-20.0,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
